,title,text
12,えがおが　にがてだ,おもしろくもないのにわらいたいわけでもないのにえがおは　もとめられてるなんでかなつくれっていわれて　えがおはできないよそれでもわらえって　わかんないよそれでもわらえてる　あなたがおかしいよでもわらえたほうが　あいてはいいみたいだつくりわらいで　いいきぶんになるなんてわかんないよ　ああ　えがおが　にがてだ
13,他人事,駅では潰れた雨の音と落ちていく雨の音と弾けた雨の音がミキシングされたようだった雷を見て思い出して指折り数えて「遠いなら大丈夫って思ったの？」やり場のない傘のしずく階段を落ちて雨に混ざった
14,向日葵のような,貴女は向日葵の似合う人笑顔が満開の花貴女が向日葵なら私は濃い灰色のアスファルトもう会うことはないでしょう決して触れ合うことのない触れ合ってはいけないそんな関係だったのでしょう照りつける太陽にただ真っ直ぐに目線を向ける向日葵日差しを避けるように背を向けるアスファルト
15,手紙,こちょこちょ刻まれた魚は切にをんな達の心を許す消えるだろう 宇宙の月に魚が 血と涙を申すなら魚は 銀河の鱗へ降る
16,サーファー,絶対的≠波キミにはきっと伝わらないし 届かないだろうライフセーバーでもない私は海に沈んでしまった者を救えない自分から溺れたものは特にね
17,男,選択(セレクト)できる花束は、夢や小道の限り幾らかの道程を持ってかおから振り絞るる。此れ天なきと座る。何れでもない大人の相槌。懐かしき。掟やさだめの中の自由の、果てしない答えの符。経つても消えない雪のやう、不純された白い地球や、自分のように濁ったぎん。愛から始まった眼差し、あなたの、無性のまなざしよ。目から漏れた色彩と、モノトーンも然り。故は其の口が喋っても、目は潤んでいる、慈しいとわたくしに言う為。そして此のおっぱいに吸い込む四十のそれたちが跳ねさせる自らの口惜しさ。例えるならば人間が人間へ憧憬するあまの夕日。かくてあなたの助けを未だみんな待っている。男の歌、陽気な。うたかたの恋、遠方へなぞる弧の、物のお月様の事。それらのデッサンには勝てないやぁ。
18,あなたの理想がギルティだったというのなら,スパンコール輝いて月の背中は真っ暗らしい、毒蛾さえそこにはいないらしいな。ほんとのことはわからないがな、スコルピオンの毒針を罪として呑み込んだ世迷い言。『この国を亡ぼそうとするな』白く輝く街灯のしたのベンチに座りな、ほんとのことはわからないがな、亡国の徒としてのアイツの儚さが邪魔だったのではない、苦しんでいたのだ。まる三日間眠れない陰鬱なプレッシャー、キライ、かな？ほんとのことはわからないかな？神よ、あなたの理想がギルティだったというのならわたしの心の中心の惨めな愚かさゆえに空気みたいな正しいあなたを信じられなかったこと、だけ、罪、かもな。ほんとのことはわからない、な、夜空に輝く星々がまるで飛び散るブラッディメアリのような凍えた悲しみを飲み干しているのなら月の背中を抱きかかえても夜になれないのなら神よ、ほんとのことはわからない、のだろうな神よ、ほんとうに。あゝ、ほんとのことはわからない、の、かもな。
19,色彩のパネルの前で,同じパネルの前に立ち尽くしている群青と黒のグラデーション飾り気のない絵赤いネオンが目の前をよぎる誰かを引いていく透明な部屋にいた少しずつ肥大する空間に引き延ばされるまま換気扇も小さな窓もない存在が薄らぐ酸素ボンベの圧が抜け生き絶えている蛙黄色い顔最後に見た虹は割れていくシャボン玉
20,おはよう,目覚まし止めて僕を起動布団から洗面所へと移動目覚めても取れない疲労それでも今日を生きようお気に入りの服を着ようそれで気分はきっと高揚これが朝を乗り切る方法欠伸を噛み殺しおはよう
21,自覚の無い寂しさ,私はあなたと別れた時必死で平気なフリをしただけど…心は正直で何年たってもチクチクと胸の辺りが痛くなるもう会うことはないのに心はあなたを忘れないこのチクチクは一生続くこのチクチクであなたを思い出す…
22,未来を変えて…,あたしが死んだら誰か パラレルワールドで過去の自分に手紙を書いてあたしを救って欲しいのこの病気にならないようにそれが出来なかったら死のうとしているあたしを過去で助けて欲しいのあなたの愛であたしの未来を変えて欲しいお願い 今の世界は辛すぎるから今の世界に あたしの未来はもうないからせめてパラレルワールドでは幸せになりたい…そんなの 虫がよすぎるかな…なら今 自分で過去の自分に手紙を書いてパラレルワールドのあたしが過去を変えるそんなこと…できるかな…あたし一人じゃ無理だ過去を変えるにはそんな簡単じゃないお願い あたしに力を貸してあたしの過去を変えて 未来を変えて…
23,どうすればよいのかが、わからない, もうあざやかさにそめあげられた青空が海に落とされ凍りつく落下速度の門を美しく破る波の牙切り立つ崖の上に立って私の半生を眼下の海に沈めたい秋も終わり歌う虫もいずあなたもいなくなった地上を見下ろす魂は雲の上から青空をたゆたい亡霊の儚さで消えかけている消えかけている愛を取り戻そうとして取り戻せずに雲の上からただ地上を見下ろしている従順な犬の子のようなあからさまな可愛い子ではなく小賢しくも好きになってもらうためのあさましい擬態もみせたりもしたわあなたがいないとこの想いではなくこの体が静かな息をしながら死んでゆくのをしっているから箱舟が地球の救いとなるなんてくだらない嘘を嘘だと言いあげて箱舟を奪い取ってあなたを探しにゆくわ「僕には、応えられない」というあなたが放ったこの眼の裏に氷の痛みを与える言葉あなたへの恋慕が止まらない心をへし折った真っ黒な凶器は私をほんとうに変えてしまったほんとうの言葉って、なに？ほんとうの心って、なに？さみしげなあなたの目のようないちど海に落とされたあざやかな青空の下あなたは知らない私の半生を切り立つ崖の上に立った私の半生を眼下の海に沈めたいどうすればよい心の安寧のためじゃなくこの自由な心のために争うことさえ 拒まない情熱の魂をあなたに渡すことができるのかと疑い悩んでしまったときに私があなたを好きでいつづけるためにはどうすればよいと、いうのだろう
24,きっさてんにて,どあをあけて　すきなせきにすわってめにゅーひらいて　すきなものをたのむのさまってるあいだは　おひやのんでたまにほんをよみながら　ゆうがにすごすのさこんなにだらだらしていてもたのんだものはやってくるああ　ここはごくらくか？しかもれいぼうもばっちりさこーひーかたてに　あのこのよこがおきょうもはたらく　きみはすてきださとうもみるくもたのんでないよにがいけど　あまいじかん　きっさてんにて
25,盲目,同志らは簡単に鬼になれることを忘れたらしい彼らの百鬼夜行を眺める鼻は伸び 口は大きい自身の変化に気付いてない様だ私は恐怖した忘れたくない 変わりたくない声の限り叫んだだが いつから彼らは変身したのか思い出せない本当に彼らの姿は変わっていただろうか
26,走る世界,無人電車の窓は映画のスクリーンのようだ標識が走る家が走る田畑が走る奥が真っ暗な森が走る日光が窓を通って優しく私を照らす読書をしていたのに私は目を奪われていた悠々自適な車内で外の厳しさなんて他人事ただ　ただ　きれいだなこのままどこまで行けるだろう世界の果てまで　月の裏側まで私を知らない世界へ連れてって
27,人生,人生はいっぽんのレール終わりの見えない1本のレールどこに続いているのか誰も知らないどんな風景が観られるのか誰も知らない最後までたどり着けるのだろうか終点まで走り続けられるのだろうかさあ今日も生きていこうさあ明日も生きていこうせめて終点で泣くことが無いようにせめて死際で後悔が無いように
28,とうもろこし,お肉を食べる時君たちを想う君たちは育てられるが育てもする命の繋がりをコーンなにも感じる日は月が君たちのご先祖様のような赤色をしてるよ
29,妄挙の老人2,風は過去を「使う」から、正体なんて判りっ子ない。それがそのままの姿であり、詰まり何も無いっていう。故に彼女は虚無を愛す。自惚れと言ってもいい。何故ならそんな彼女自身が高所を押さえ、自ら上に来ている。彼女の世界は終わってる。それだけでも寂しいのに、尚も寂しさを欲すので、何とも卑しい。見たモノクロの世界だって、末路に過ぎない。だから私は見ることもない。それで彼女が消滅をしたとしても、初めから、何も無かったのだ。愛が消えるのは何故だろう。言ったように構造が間違っていて、それを受け止めたからだろう。愛自体が愛ではないのも真実だから。自分しか反応しないから、私達は無関心同士で、それを情が繋ぎ止めたのにあなたは薄情だ。トリコモナスのような醜き天才共、今日はノスタルジーだ。
30,妄挙の老人,あなたのためにおう渤した心が夜を探索し、あなたのいない世界へとそれはちよ紙を破る。どうして嫉妬をしたか、僕の失望め。夜白に襲われ、あなたと見た夢境は幻のように思う。罪無きものに罪などを色めかしたお陰で、人の心はその日までわからない。愛を大切にする、そんなものが愛か。恒常的に教えたいと思念した太った者か。僕に魚を食えと？醜い老いへ諂う、やっ、日本人。かくてあなたが欲しい、そう思う幸せを儚い幸せを、ちぎれても程に信じたいのだ。さて何が分裂してるのかもうわからない。夢想じゃない、愛の裏返しは愛の類だ、だから咨&#26267;をして、自分自身から逃げたあなたにしがむ。
31,純愛,夏の嵐のような暗雲が立ち込める。輝かしい晴天を一瞬で嵐に変えてしまったようだ。だがそれは夏のようにはいかない。暗雲がどうしても残るのだ。快晴にはならない。どうだ、このような中途半端な晴天でよいのか。幾度となく四季を超えればよいのか。いや、どのようにしようとも、もう快晴にはならないのだろう。雲のない中での雨だ。晴れていようともそれ以上はない。偽りのようで正しい、それしかもう目指せない。だから、それでもよいのかもしれない。きっと、許してくれるだろう。
32,やらない善よりやる偽善,僕は人間だから汚れた部分があるそんな人間が語る善なんて紛い物かそれ以下でしかない何をしたって本物にはならないだからせめて人間らしく紛い物の善くらいは振りかざしたい
33,繋がっている,友人と電車に乗った何の気なしに、窓から外の景色を見た夕陽に照らされる建築群落書きのように入り乱れた道路それを縫うように走る車レジ袋を手に歩く人仄かに煌く街灯通り過ぎる景色を見ている内にふと、形容し難い疑問が頭をよぎる私が住んでいる街にも存在するありふれた、普遍的なものに過ぎないのに胸中に残る、この感覚は何だろうコリっとした、しこりのような更に幾駅を通り過ぎ、ハッと気付く普段忘れがちな、人間生活のスケール感同じ「日本」という国に住んでいながらも私とは何の関りもない、隔絶された世界の人々けれども、深い部分で、彼らと繋がっているという事実普段ならありふれた景色として流れ去るそれがふと、私の中を掠め去ったのだろう当たり前の事かもしれないが目的駅が近付き、ホームが見えるそこには電車を待っている人々がいる彼らにも生活があり、人生があるのだろう私たちはみんな、繋がっているのだからいつか、邂逅の時があるのかもしれない
34,立ち上がれ,あんまり頭でっかちになるなよ本ばっかり読んでもリアルで通用するかわからないよ？人を変えるのは知識でも技術でもない己の強い意志と渇望運命を開く鍵を持っているのは己自身人との出逢いや運を活かせるかどうかもさあ、立てよお前のその足で歩め
35,悲しい私,自覚しているのなら、やってみて良い。でも風邪が治ったことは、あとは無駄にしないでね。気にしてないから。
36,片想い,僕の孤独は、愛、愛こんにちは。と一言言った愛、恋、…。恋、愛、…。愛、愛、こんにちは。と一言言った。
37,一つの舞台,用意されたイスは限られていてみんなでサバイバル入学も就職も婚活も幸せもかな？少なくとも、すべての人が幸せになれるわけじゃないただ、一人ひとり何かしらの役割を担っている不幸や悪役なんて誰も演じたくないしかし、誰かがやらなければならない物語は幸せだけでは紡げないからいつかすべての魂が安らかになれるといいね
38,僕の中のぼく,僕の中のぼくをどうしても見ることができないから僕を中心に伸び散る影を離さないように四苦八苦 お日さまの裏がお月さまじゃないなんてもし知らなければよっぽどで僕の中にぼくがいないかもなんて考え出すのもよっぽどだよでももう随分と前からよっぽどっきりになっちゃったあっけらかん なれない！あっけらかん 戻れない！ぼくに置いてかれ僕は迷路のなか今朝もコーヒーを飲んでる握りつぶされた煙草の吸い殻がやたら鼻につく明け方です・・・僕の中のぼくをどうしても知ることができないから僕の真上で感じる気配を突き止めようと試行錯誤 お日さまがお月さまを引っ張ってるなんて考え出したらうんざりするよぼくが僕を見捨てたんじゃないかってふと考えてまたうんざりでももうここまできちゃったらうんざりっきりに慣れちゃったあっけらかん なれそう！あっけらかん 近いはず！ぼくを追いかけ僕の迷路のなか今夜も煙草を吹かしてる置き去りにされたコーヒーの空き缶がやけに絵になる真夜中です・・・
39,いちりんのはな,そのしゅんかんは　いちどきりたんぽぽが　みらいをたくしつぼみ　さきみだれいちどきりの　はるがやってきたあせがしみた　つめたいしーつみだれたいき　ほてるからだをすこしずつ　ひやしてくさよなら　ぼくのなかでちってしまったねおんがいにさく　いちりんのはなさよなら　もうかれてしまったけどさいてたことは　まだおぼえてるよ
40,夏の思い出,タレの甘辛さと一粒ずつの甘さプチプチ、シャクシャクの歯ざわり焼かれた醤油ダレと皮の香ばしさそれらは遠くからでも人を惹きつけ夏の思い出をプレゼントする焼きとうもろこし君と出会えて僕は幸せだよ
41,病室,君は僕の髪を洗い身体を熱いタオルでふく足の指一本一本まで「もういいよ、寝てるだけだから」僕の声にニッコリ笑う「こうすると気持ち良く眠れるのよ」昨日　プッと頬を膨らませて帰ったそんな君から想像もつかないほど今日は楽しそうに話す「ちょっと熱いよ」「大丈夫」「大丈夫って、僕が熱いの」「少しくらいがまんして」「昨日のかたき取ってるんじゃないの」「そうよ」とまた笑う今日の君はとても可愛い
42,最高のプレゼント。,誰かの役に立ちたいみんな心の奥でそう思っているそれはそんなに難しいことではなくてただニッコリ笑えば　いいそれが、最高のプレゼント。
43,関係性,たけおの腕の中で急に飽きて、下らないと思った、月子はツンっとして自ら孤独を選んだ。その道の奥に向日葵が一輪咲いていた。素通りしても良かったが月子に問いただされる筈のない偽善を演じ彼女はその花の母親になった。花の目の方ははっきりしていた。花の孤独とは寂しいものではない。ただなにかに夢中になり、ただ感じている時の事だ。本当に良いものなのだ。月子にはどうしても寂しさがあり、それをたけおが寂しいのと、思った月子の天心を天秤で計れる筈などなかった。裏切られたたけおは良心で魔鏡の力を持ち、後に月子の事は忘れた。私の二人から学んだ事は、ひとを好きになるという極めてありきたりな行為だ。こういった良いことは自ら繰り返して行き、そこには花の季節が流れているのだから、終着しない。態度には造形も含まれているからだ。二つくらいあるそのたけおのあやふやな努力については、それはたけお達はは力に意志があるのだろうと思う。光が、簡単には落ちない恋が実際出会うのだから、その所がセクシーなんだ。私は昨日も昨日で珍しい日を送った。親友が退屈していたという点が私の現実や夢を救い、空はやっと晴れた。哲学していても、頭の中で日々が回るんじゃないので、そんな天神と共にみるべき夢をみる事。そうしてくたばってみる夢の事を、理性ともつかない理智の中で吹き飛ばされそうに私は覚えている。私の哲学によると、胸の傷が痛いわけではなくそれを悲しみというにはふさわしくないが、これを悲しみといおうかと今日は戸惑う。心が心そのものでない事に困惑す。その点毒の被害などは考えるに値しない。私は月子より、たけおより、心がキンっと冷たかった。問題は若者を大事にしない二人が年寄りに思えるのだ。ああ、新しい服が欲しい。
44,私の尾は白くない,パタパタと尻尾を振る甘やかな言葉優しい言葉知った風な言葉悟った風な言葉パタパタと尻尾を振る同情を誘う言葉共感を呼ぶ言葉称賛を求む言葉無力を感じ無意味と知り虚しさに襲われる心は既に気づいていた散乱した言葉に呆然とする御山の大将は今日も吠える子供に向かって「俺は大人だ」と私は今日もパタパタと尻尾を振る
45,とある難題について,夜通しで一冊の本を読み終えて、その他愛もない感想を誰かに伝えなければと躍起になるのは決まって月曜日の朝だった。ゴミをまとめて、決められた場所に置きに行く事と同じくらい、それは習慣になっていて、だから同時に僕の一夜は、顔もない人たちによって片付けられていく。あの頃はいつもそうだった。そして、その後も形を変えて、文章化すれば代わり映えのしない毎日を、こうして送っている。僕は、茶色い本棚のある自分の部屋へ、規則正しく帰ってくる、季節性の病気みたいな存在だ。そしてその流行は、おおよそインフルエンザのそれと時期的な一致をみる。ところで、科学者の研究室の棚にある、整然と並べられた試薬や瓶の類を、どこかで目にした事はあるだろうか。あるいは、現実のものでなくとも構わない。僕の本棚は、二度と主人に顧みられないという点と、日付と名前を揃えたコレクションだという二つの点で、あれとよく似ていた。いつからか中板を捨てられた箱の中には、奥から規則正しく、下からきっちりと、日付順に手垢の束が収められている。電車の車内広告は唄っていた。「あなたの半生に題名をつけるとしたら？」それを目にしたのは2週間も前の話だったが、当然と言うべきか、もちろんと言うべきか、最近の僕に対して、その答えを与えてやることは出来そうになかった。この毎日は何だろう、問いかけずはいられなくなっている。あの本棚を知らないやつが、今も平然と僕の隣で笑っている。それは何も不思議なことではないし、むしろ一度でも見てしまったら、もう二度と同じ笑みを僕に向けてはくれないだろうことは想像に難くない。加えて悔しいことに、遠慮がち、控えめに言って大変遺憾だが、僕は、その隣に座る彼女の事が、どうしょうもなく好きだった。けれど、現在話す僕の言葉が、いかにその後の人生によって塗り固められ、装飾され、合理化されたものであっても、あの茶色い壁から滲み出て来る、薄汚れた液体の成れの果てであることだけは、おそらく変えようのない真実だと思う。多くの人が、その日、作り方さえ知らぬモノを口に運べるのは、よくよく考えずとも奇妙なことのはずだ。だからつまり、一言で言えば、要するに、あれだ、「次に僕が、君に何を話したらいいか」なんて問題は、難し過ぎて解けないんだ。
46,重ねる,可視化されていない経験値だけを重ねるただ飽きがくるまで繰り返し重ね続ける試行回数を重ねれば強くなった気がしてそのたびに大きな壁に絶望を重ねるのだ重なった経験と絶望はこの手の中にある時間と僕が重なるまで大事にしていよう
47,暇つぶし,好きな時間:明け方、深夜嫌いな時間:昼間、夕方好きな匂い:お風呂場に入る風の匂い嫌いな物:サンダルの鼻緒好きな色:紫色とオレンジ色嫌いな事:考え事
48,金曜日の夜,電球と見違えた月が、天井から吊り下がり、嘲弄のみを生き甲斐にするものたちの太陽となる照らし出された影は生気なく、向かうべき場へ眠りに行く。この宴は奇禍なりこの真理を飲めばいつしか己を忘れ吐き戻し殴りあう、小さな箱庭世界の奈落になる幼きものが僥倖に目を輝かせる、金曜日の夜だ。
49,マリオネット,忘れてしまうのでしょう消えてしまうのでしょう夢の中の出来事みたいに心に嘘を抱いてあなたを愛してきたけれどもう疲れたみたい舞台の上で演じ続けたマリオネット糸を手繰りよせても立ち上がれない二度と開くことのない幕が降りていきます
50,穿て,さあ謳おう愛の謳を。解き放たれ、無数の鼓動。何千年前の、愛の鼓動さえも愛して。どんな衝動さえも恋して、愛して。苦しそうな犬、しかしそれは鎖に繋がれているから。解き放たれ、穿て、そして、撃て。
51,夢の続き,懐かしいね 会いたいね そんな言葉をつぶやいては涙流す君をうまく愛せたことなんて一度だって無かっただろう互いの存在を何度もたしかめたその度に自分の過ちに心痛めて君の肩を抱き寄せるのが精一杯だったもう一度 見せて欲しい 途切れた夢の続き君が去った風の中で君に合わせた歩幅で通り過ぎた街並みがいまは見知らぬ顔している置き去りの部屋の君が畳んだ服もいまだに着れなくてまぶたに柔らかな笑顔が焼きついたまま鮮やかな壁紙は元に戻せなくて夜になると君の胸の音が聞こえるんだもう一度 見せて欲しい 途切れた夢の続き 君が去った風の中で
52,相談,あなたと出会う前に私は婚約をしました。その事は十年経っても変わらずにそのままで、故に私の魂は未だ私を知りませんから、ちぐはぐで醜くとても恥ずかしく、あなたには哀しい。だからこんな姿で表には出たくありません。悪魔になるならあなたの女になり、人が自身の理解をし、美しさを終える間に天使になるなら私と地道に浮気をしませんか？治癒が根本的に怪しいでしょうか。何か良い知恵はないのですか？絞り出して。昔は周りに大人がいたんだけど、すっかり消えてしまった。花にして空虚は埋まったけれど、行ける所は少なくなった。まだ意味が意味を食い、心の自由は締め付けられた。あたかも綺麗に並べられた皿が無機質に、機能を止めた、私は慈しみその瞬間を覚えている。私が必死で頼ったのはおじいさんの円滑さのことだ。それだけ優しい人が少ない。恋なら尚更醜態である。そう思った男神がどうして有頂天でない筈があるのか。一度醜態を晒せば、省みるとき、考えている人らしさが芸術にまでなるのだから、思い切って悔しさを噛んでいる。強さが弱さを生むのなら、私の精神は弱いこともない。紫陽花が生きるように、笑うばかりの笑みというわけでもなく、泣かされるというのは強いことなのである。だから束の間の夢でない意志の事もわかるし、自己超克や、ロックやアダルトもわかる。詩はそれらの中から、奥から、救ってくれ、今、詩そのものは現実として全てを暴き私という人間がそこにぽっかり浮かんでいるのだから私の唯一の証人だ。詩に空が含まれる、私も飛びそうだ。私は今いじめられて何もあなたにかけていく足さえありません。おまけに銀紙の嘘に包まれ、息も苦しい。中で、強く光っている。今までは独りでありつつ独りではなかった私は日の部族である、これからもそうだろう。違うのは君が仲間になった。あなたはこの水色の太陽を見て動かなかった。焼けたのか、溶けたのか、くっきりとした月はそれから出た。暫く楽しき事、を見過ごし続ける、水色の太陽。人間の空は続くよ。人間こそを磨きたいので太陽には妬けて仕方がない。だから雨の日が優しく思え、それを恋と名付けてしまえば綺麗なものはそれから始まってしまうのだろう。
53,愛犬が死んだ,今朝、愛犬が死んでいた。朝の散歩の時間のはずだった。言葉は出ず、ただその場で立ち尽くしていた。涙は出ていなかった。左胸の奥が締め付けられ、凄まじい吐き気が襲って来た。足や腕は震えて力は入らない。なのに、その場で立ち尽くしていた。やはり、涙は出ていなかった。自分が生まれる前から、このうちに住んでいた。自分が悲しそうにしているといつも近づいてきて、顔を舐めてくる。きっといつもみたいに、顔を舐めにくるはずだだからさ、そんなところでずっと寝てないでこっちにきてくれよ。次の日の朝の散歩の時間、初めて泣いた。
54,天の音楽。,ころん、ころん、あなたには詩がうたうよ亦、ころん、ころん、ころん、ころん…。強さや、光を持ってだけど私は未だにあなたの背に回ることが可。強さって何だろう。俺を悪魔と言うのなら終わりだから、いつも述べるよ。この口がうそだとしても尚も語りかける。風は生身じゃない。心細い事も忘れるから。風と生きる凡人と、この凡夫は結果的に違う。権力を断れるかどうか、可能性のある事だと思う。人は考える為に生きてて、そこには成果とかなくて、それは、私とあなたの過去がこんなにも違うように、昨日の“お花”も本当は綺麗だったのよ物にも魂は宿るだとしたらあなたの物語も現実ね私は現実と現実の間で空想沢山の正しさがそこにあるだけそう見つめた時、許されるんじゃなくて、思考になる。ころん、ころん、あなたに詩がうたう私も詩の一環にどうかまぜて、と。くじかれるのが、懐かしく、自分に何も無いとは言いませんが、ただ懐かしく感じています。ノスタルジーと言う。そのように夕日も水も差異のない同じときがある。しかもそれを目指さず、人生を抱えたら流れるようにそこに着く。感情でチャイコフスキーをかけたまま、崩れず、留まることの出来る実際と。こういった懐古性のあるものと生の風と。唯一過去(心の傷み)と繋がれる風。目の前の現象を信じるしかなく、それ以外の分からないことには絡まれない。能わった時間を守る中、進歩の夢と無垢な感動とただ歩く潔さ。液晶テレビという既に見ている光を何度も、もう一度見直すのだが、光に対して影になったのではなく、真の主格はそういった対象を逃れ客観性がないまま雫のように夜に零れる。こうしてただ「私は私の愛しいもの」となる、私たちは。つまり真の光を見つめる眼識が生まれるのだ。私のポルチオから、光っていこう。別の星からそれぞれ来た、肉体的な強さと心の強さが、男女のように出会い、あなたと夜にも出会えるような夢。「こっちはこっちで色々してる。」そういった善意的なものが認められる事。
55,置石,時すでに遅し 誤ちの果て表面張力にとどめの一滴ルーツだった 指標だった 全部履き違えた支えだった 源だった みんな離れていった水面を跳ねる小石のつもりがただ邪魔な置石だった転ばせるだけの置石だった線を引いた優しい綴り 都合よく繋げ変えていたあふれる涙を最後に信じるこぼした涙についていく固い地面を這うだけの愚か者で幕を閉じても
56,ひとりの時間,ひとりの時間のあなたは正直恥ずかしいこともひとりなら怖いぐらいにできてしまう秘密の文字が書かれた紙もたくさんいろんな方角へ散らばっている他人には何も見えないけれどそんな正直なあなたが人間らしくてだいすきよひとりの人間にひとつのひとりの時間ひとりの時間を大切に
57,台風は映画日和,嵐の日は映画を観るのがお約束それは今も何となく変わらない変わったのは観る場所くらいだ幼い頃はお家で大人しくしてた今じゃ車を走らせ大画面で観にいつもより胸が高鳴ってるのは雨と風が織りなす背徳感のせい
58,好きでい続けるのは難しい,子どもの頃あんなに大好きで毎日描いていた絵をいつの頃からか1日、2日と休んで気がついたら数ヶ月、数年と描かなくなってしまった最近、思い立って暇があるときに描き始めたけれど仕事や家事に追われ時間が空いても漫画とかテレビ睡眠に時間を割いてしまった私は絵を描く意欲すらわかなくなっていたあの頃の絵に対する愛着も情熱もほとんどないまるで昔、仲の良かった友達が学校を卒業したことで会う機会がなくなって次第に疎遠になっていくように好きな気持ちが薄れていくその虚しさ悲しさといったらないどうしてそうなってしまったのだろう？それは自分で手放してしまったからよずっと大切に思っていたとしても触れ合う機会が少なくなれば気付かぬうちに気持ちが離れていくのよ本当に大切だと思うものは手放してはダメよ好きでい続けるにはなるべく関わり続けなければいけないよ物事に対してもそうだし人に対してもそう想いは常に揺らぐし変化するだから大切な人がいるならば大丈夫と思って放っておかないで気がついたらでいいから時間があるときでいいから声を聞かせてあげて話を聞いてあげてちょっとの関わりで繋がりはちゃんと結び直されるから
59,ほのう,糸のような細いほのう。絶えずして消させない、消させはしない。何十年続いてきたこのほのう。ほのうを絶やさない。受け継がれてきたこのほのうを。暗い暗い道を照らす、糸のようなほのうを。
60,壊れた,私の大好きだったお姉ちゃん失恋して壊れちゃった恋をする前のお姉ちゃんを返してよなんでも出来た器用なお姉ちゃん今は違う世界に生きてる…ふったあなたをまだ待ってるまだ好きだというなんで？私のお姉ちゃん壊しときながら恨まれず生きてるの？私のお姉ちゃん元に戻してよ。
